country,type,paid,needs_registration,governmental,agency,url,notes
Ethiopia,Procurement Registry,f,t,f,European Commission,http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/,"Statistical data available free of charge. Data contains many indicators (short-term, structural, theme-specific and others) on the EU-27 and the euro-zone, the Member States and their partners."
Gabon,Intellectual Property,f,f,t,Center of Industrial Property of Gabon (CEPIG) Ministry of Industry and Mines,http://www.mines.gouv.ga/2-ministere/394-organisme-sous-tutelle/395-le-centre-de-propriete-industrielle-du-gabon-cepig/#.UtkOZPRdWVI,
Gambia,Business Registry,f,t,t,The Online Registry of The Gambia,http://www.icommerceregistry.com/,
Ghana,Business Registry,f,f,t,Registrar General's Department,http://www.rgd.gov.gh/en/services.php,
Ghana,Intellectual Property,f,f,t,"Intellectual Property, Copyright Department  Ministry of Justice",http://www.copyright.gov.gh/,
Ghana,Land Registry,f,f,f,Ghana Land Law,http://www.commonlii.org/gh/cases/GHLL/,Online access from 1872-1990.
Ghana,Intellectual Property,f,f,t,Copyright Department Ministry of Justice,http://www.copyright.gov.gh/,
Ghana,Business Registry,f,f,t,Energy Comission,http://energycom.gov.gh/,Available: information on the resources market and legislation
Ghana,Business Registry,f,f,t,Ghana Stock Exchange,http://www.gse.com.gh/,Available: basic information on all listed companies and some reports
Ghana,Business Registry,f,f,t,Securities and Exchange Commission,http://www.secghana.org/investor/index.asp,Available: list of all licenced financial market operators
Ghana,Business Registry,f,f,t,Registrar General's Department,http://www.rgd.gov.gh/en/customer-service/online-registration.php,No online search is available yet.
Guinea-Bissau,Gazette,f,f,t,Boletim Oficial da República da Guiné-Bissau,http://inacep-gb.org/,Portuguese. 2008-2010.
Ivory Coast,Intellectual Property,f,f,t,Ivorian Office of Intellectual Property (OIPI)  Ministry for Industry and the Promotion of the Private Sector,http://www.oipi.ci/cgi-sys/suspendedpage.cgi,Site currently down.
Kenya,Business Registry,f,f,t,"Companies Registry, Registrar General",http://www.attorney-general.go.ke/index.php/services/companies-registry,Non-searchable online
Kenya,Gazette,f,f,t,Government Gazette of Kenya,http://www.kenyalaw.org/kenya_gazette/,Online access available from 2007-2014.
Kenya,Intellectual Property,f,f,t,"Intellectual Property, The Kenya Copyright Board (KECOBO)",http://www.copyright.go.ke/,
Lesotho,Business Registry,f,f,t,"Registrar of Companies, Ministry of Trade",http://www.gov.ls/trade/,Non-searchable online.
Lesotho,Court Registry,f,f,t,High Court Commercial Decisions,http://www.lesotholii.org/content/high-court-commercial-division,Online access from 2010-2013.
Lesotho,Gazette,f,f,t,Lesotho Goverment Gazette,http://www.gov.ls/documents/legal.php,Limited.
Liberia,Business Registry,f,f,t,Liberia Business Registry,http://www.lbr.gov.lr/inf/Public/Products/NameSearch.aspx,Available: search by company name and basic company information
Madagascar,Business Registry,f,f,t,Economic Development Board of Madagascar,http://www.edbm.gov.mg/,Corporate laws and regulations. Non-searchable online.
Madagascar,Business Registry,f,f,t,General Directorate of Taxes,https://entreprises.impots.mg/nifonline/,Registration required. French.
Madagascar,Intellectual Property,f,f,f,"Intellectual Propety: Malagasy Copyright Office  Ministry of Information, Culture and Communication",http://www.omda.mg/index.html,
Malawi,Business Registry,f,f,t,"Ministry of Justice, Registrar General",http://www.malawi.gov.mw/index.php?option=com_content&view=article&id=43&Itemid=7,Non-searchable online. Request can be filed through email or fax. Must be addressed to the Registrar General which handles the Corporate Registry.
Malawi,Court Registry,f,f,t,High Court Commercial Decisions,http://www.malawilii.org/content/high-court-commercial-division,Online access 2006-2008.
Malawi,Gazette,f,f,t,Official Gazette,http://www.catalogue.mw/cgi-bin/koha/opac-detail.pl?biblionumber=4942&shelfbrowse_itemnumber=10117#holdings,Limited.
Mali,Court Registry,f,f,t,Supreme Court of Mali,http://www.cs.insti.ml/,"Online access to judgements of the Court. The final court of decision for social, civil, commercial and criminal cases."
Mali,Gazette,f,f,t,Government Gazette of Mali,http://www.sgg.gov.ml/,Online access available.
Mali,Intellectual Property,f,f,t,Malian Centre for the Promotion of Industrial Property (CEMAPI) Ministry of Trade and Industry,http://www.cemapi.com/,
Mauritania,Gazette,f,f,t,Government Gazette of Mauritania,http://www.mauritania.mr/legislation/index.php,Limited online access available.
Mauritius,Court Registry,f,f,t,Supreme Court of Mauritius,http://www1.gov.mu/scourt/home/welcome.do,"Online access to judgements, legislation, cause lists etc from 2009."
Mauritius,Intellectual Property,f,f,t,"Intellectual Property, Ministry of Arts and Culture",http://www.gov.mu/portal/site/mac,"Registration is required. For specific queries, email or phone the office of  Minister of Arts and Culture, Hon. Mookhesswur Choonee
copyrightsoc@intnet.mu
Tel: 230) 454 44 08"
Mauritius,Intellectual Property,f,f,t,Industrial Property Office (IPO) Regional Integration and International Trade Ministry of Foreign Affairs,http://www.gov.mu/portal/site/mfasite/menuitem.d26b8c9d73facdfda4522e10a0208a0c/,
Mauritius,Commercial Registry,t,f,t,Ministry of Finance and Economic Development,https://portalmns.mu/,"Free search by name and date of registration is available.
Basic company records also available for purchase"
Morocco,Business Registry,f,f,t,Central Trade Registry,http://www.directinfo.ma/,Payment required.
Morocco,Court Registry,f,f,t,Supreme Court of Morocco,http://www.coursupreme.ma/en/default.asp,Website often down.
Morocco,Intellectual Property,f,f,t,"Intellectual Property, Copyright Office of Morocco",http://www.bmdav.org/,
Morocco,Business Registry,f,f,t,directinfo.ma,http://www.directinfo.ma/,Available: search by name and basic company information
Morocco,Business Registry,f,f,t,Conseil Déontologique des Valeurs Mobilières,http://www.cdvm.gov.ma/,Available: list of issuers with basic company information
Mozambique,Business Registry,f,f,t,Government Portal and Bulletin,http://www.portaldogoverno.gov.mz/Legisla/boletinRep/,Portuguese.
Mozambique,Court Registry,f,f,f,Mozambique Supreme Court,http://www.saflii.org.za/mz/cases/MZTS/,Online access in English from 1992-2007
Mozambique,Intellectual Property,f,f,t,Industrial Property Institute (IPI) Ministry of Industry and Commerce,http://www.ipi.gov.mz/,
Namibia,Business Registry,f,f,t,Ministry of Trade and Industry,http://www.mti.gov.na/,
Namibia,Gazette,f,f,t,Namibia Government Gazette,http://www.saflii.org/na/other/NAGovGaz/,Online access from 1990-2013.
Namibia,Court Registry,f,f,t,Supreme Court of Namibia,http://www.saflii.org/na/cases/NASC/,Online access from 1990-2013.
Niger,Land Registry,f,f,t,Directory of Companies,http://www.stat-niger.org/statistique/pages/repentreprise/entreprise_list.php?pagesize=500,French. Searchable online.
Niger,Court Registry,f,f,t,Supreme Court of Niger,http://www.juricaf.org/recherche/+/pays:Niger,Decisions available online.
Niger,Intellectual Property,f,f,t,"Niger Intellectual Property, Copyright Office (BNDA)  Ministry of Youth, Sport and Culture",http://www.bnda.ne.wipo.net/index.htm,
Nigeria,Business Registry,f,t,t,Corporate Affairs Commission,http://cacnigeria.org/jm/,
Nigeria,Court Registry,f,f,t,Supreme Court of Nigeria,http://supremecourt.gov.ng/,"Judgements from 1963 available online. Original jurisdiction in conflicts between Federal government and a State, or between States."
Nigeria,Intellectual Property,f,f,t,Nigerian Copyright Commission (NCC)  Federal Ministry of Information and Culture,http://www.copyright.gov.ng/,
Nigeria,Business Registry,f,f,t,Corporate Affairs Commission,http://cacnigeria.org/jm/,Online search is not availablw
Nigeria,Business Registry,f,f,t,Securities and Exchange Commission,http://www.sec.gov.ng/,Available: regulation of market and statistics
Republic of the Congo,Business Registry,f,f,t,Congo Statistics Agency,http://www.cnsee.org/,
Rwanda,Business Registry,f,f,t,Office of the Registrar General,http://org.rdb.rw/inf/Public/Products/NameSearch.aspx?AspxAutoDetectCookieSupport=1,
Rwanda,Court Registry,f,f,t,Supreme Court of Rwanda,http://www.supremecourt.gov.rw/,"Website temporarily suspended. Online database provides free access to judgement from Supreme Court, High Court and other subordinate courts."
Rwanda,Gazette,f,f,t,Government Gazette of Rwanda,http://www.primature.gov.rw/publications/official-gazettes.html,Page suspended. Online access available.
Rwanda,Intellectual Property,f,f,t,Office of the Registrar General  Rwanda Development Board (RDB),http://org.rdb.rw/,
Sao Tome and Principe,Court Registry,f,f,t,Supreme Tribunal of Justice - Sao Tome and Principe,http://www.stj.st/stj/index.html,
Sao Tome and Principe,Court Registry,f,f,t,Government Gazette of Sao Tome and Principe,http://dre.pt/stp/index.html,Online access. Page down.
Sao Tome and Principe,Intellectual Property,f,f,t,Directorate General of Culture  Arts and Entertainment Promotion Center,http://senapi-stp.net/spip.php?rubrique1,
Sao Tome and Principe,Intellectual Property,f,f,t,Industrial Property National Service (SENAPI)  Directorate of Industry  Ministry of Planning and Development,http://senapi-stp.net/spip.php?rubrique1,
Senegal,Business Registry,f,f,t,"Ministry of Industry, Directory of Enterprises",http://www.obs-industrie.sn/menuang/liste%20of%20entreprise.htm,
Senegal,Gazette,f,f,t,Government Gazette,http://www.jo.gouv.sn/,Online access from 2001.
Senegal,Intellectual Property,f,f,t,"Senegalese Agency of Industrial Property and Innovation Techologique (ASPIT)  Ministry of Trade, Industry and Handicraft",http://www.aspit.sn/,
Senegal,Unknown,f,f,f,Business Creation Support Bureau,http://creationdentreprise.sn/rechercher-une-societe,Basic company information
Seychelles,Land Registry,f,f,t,Business Registry,https://eservice.egov.sc/BizRegistration/WebSearchBusiness.aspx,Partially searchable online
Seychelles,Court Registry,f,f,t,Supreme Court of Seychelles,http://www.seylii.org/sc/judgment/supreme-court,Online access from 2004-2013.
Seychelles,Court Registry,f,f,f,SEYLII - Seychelles Legal Information Institute,http://www.seylii.org/,"Available for free: lists and sometimes documentation of court cases from Seychelles Constitutional Court, Court of Appeal and Supreme Court. The website also indexes law reports, government notices and cause lists."
Sierra Leone,Business Registry,f,f,t,Office of the Administrator and Registrar General,http://www.oarg.gov.sl/,Non-searchable online
South Africa,Intellectual Property,f,f,t,Company and Intellectual Property Commission,http://www.cipc.co.za/,
South Africa,Court Registry,f,f,t,Supreme Court of Appeal of South Africa,http://www.justice.gov.za/sca/index.htm,
South Africa,Gazette,f,f,t,Government Gazette of South Africa,http://www.greengazette.co.za,Online access from 2006-2014
South Africa,Court Registry,f,f,t,East African Court of Justice,http://www.saflii.org/ea/cases/EACJ/,Official website also available: http://www.eacj.org/
South Africa,Land Registry,f,f,f,South Africa Land Claims Court,http://www.saflii.org/za/cases/ZALCC/,Online access from 1996-2013.
South Africa,Business Registry,f,t,t,Companies and Intellectual Property Commission,http://www.cipro.gov.za/2/home/,Available: search for all company types and detailed company information
South Africa,Business Registry,f,f,t,Department of Trade and Industry,http://www.dti.gov.za/,"No online search is avalable, but per request this department could provide information on entrepreneurs, small and medium companies"
South Sudan,Business Registry,f,f,t,Ministry of Justice,http://www.mojss.org/Busireg/,Non-searchable online
Sudan,Intellectual Property,f,f,t,Registrar General of Intellectual Property  Ministry of Justice,http://www.ipsudan.gov.sd/,Website down.
Swaziland,Business Registry,f,f,t,Registrar of Companies,http://www.sipa.org.sz/index.php?option=com_content&task=view&id=15&Itemid=27,Website frequently down. Non-searchable online.
Swaziland,Court Registry,f,f,t,Supreme Court of Swaziland,http://www.swazilii.org/sz/judgment/supreme-court,Online access from 1993-2013.
Swaziland,Intellectual Property,f,f,t,Ministry of Commerce Industry and Trade  Intellectual Property Office,http://www.gov.sz/index.php?option=com_content&view=article&id=228&Itemid=306,
Tanzania,Court Registry,f,f,t,High Court of Tanzania,http://www.saflii.org/tz/cases/TZHC/,Online access from 1986-2009.
Tanzania,Intellectual Property,f,f,f,Copyright Society of Tanzania (COSOTA) Business Registrations and Licensing Agency (BRELA) Ministry of Industry and Trade,http://www.cosota-tz.org/,
Tanzania,Intellectual Property,f,f,t,Business Registrations and Licensing Agency (BRELA)  Ministry of Industry and Trade,http://www.brela-tz.org/index.php,
Tanzania,Business Registry,f,f,t,Business Registration and Licensing Agency,http://www.brela-tz.org/?section=companies&page=search,
Togo,Gazette,f,f,t,Government Gazette of Togo,http://www.legitogo.gouv.tg/,Online access from 1920-2011.
Togo,Intellectual Property,f,f,t,Togolese Copyright Office (BUTODRA),http://www.butodra.org/,
Togo,Business Registry,f,f,t,Chamber of Commerce and Industry,http://www.ccit.tg/,No online search is available.
Tunisia,Gazette,f,f,t,Tunisian Journal Officiel.,http://www.iort.gov.tn/WD120AWP/WD120Awp.exe/CTX_4072-30-THkbrsKaiM/Accueil/SYNC_26973531,
Tunisia,Intellectual Property,f,f,f,Tunisian Organism for the Protection of Authors' Rights,http://www.culture.tn/,
Tunisia,Intellectual Property,f,f,t,National Institute for Standardization and Industrial Property (INNORPI)  Ministry of Industry and Technology,http://www.innorpi.tn/Fra/accueil_46_4,
Tunisia,Business Registry,f,f,t,Registry of Commerce,http://www.registre-commerce.tn/search/RCCSearch.do?action=getPage&rg_type=PM&search_mode=NORMAL,
Uganda,Business Registry,f,f,t,Registration and Services Bureau,http://www.ursb.go.ug/,
Uganda,Court Registry,f,f,t,Supreme Court of Uganda,http://www.ulii.org/ug/judgment/supreme-court,Online access from 1998-2013.
Uganda,Land Registry,f,f,f,Commercial Court of Uganda,http://www.commonlii.org/ug/cases/UGCommC/,Online access to com court decisions from 2000-2007.
Zambia,Business Registry,f,f,t,Patents and Companies Registration Agency,http://www.pacra.org.zm/,Registration required.
Zambia,Court Registry,f,f,f,Supreme Court of Zambia,http://www.zamlii.org/zm/judgment/supreme-court,Online access from 1974-2011.
Zambia,Court Registry,f,f,t,Common Market for Eastern and Southern Africa (COMESA) Court of Justice Decisions,http://www.worldlii.org/int/cases/COMESACJ/,Official website address (http://www.comesa.int/institutions/court_of_justice/) often down.
Zambia,Land Registry,f,f,t,Zambia Lands Tribunal,http://www.unza.zm/zamlii/land-tribunal.html,Online searchable database
Zambia,Land Registry,f,f,f,Zambia Revenues Tribunal,http://www.unza.zm/zamlii/revenue-tribunal.html,Online searchable database.
Zambia,Intellectual Property,f,f,t,"Ministry of Industry and Trade, General Department for Intellectual Property Protection",http://www.pacra.org.zm/,
Zimbabwe,Court Registry,f,f,t,Supreme Court of Zimbabwe,http://www.zimlii.org/zw/judgment/supreme-court,Online access from 2002-2013.
,Court Registry,f,f,f,African Law,http://www.africanlii.org/,"Courts, laws and other legal-specific issues related to Africa."
,Procurement Registry,f,f,t,African Regional Intellectual Property Organization,http://www.aripo.org/,
,Procurement Registry,f,f,t,Regional Procurement Management Information System,http://promis.comesa.int/,Available: calls for tenders and other procurement information for the COMESA region
